TIMESTAMP,RECORD,O2_mV_Avg(1),O2_mV_Avg(2),O2_mV_Avg(3),O2_mV_Avg(4),SBTemp_C_Avg(1),SBTemp_C_Avg(2),SBTemp_C_Avg(3),SBTemp_C_Avg(4),O2_Final_Avg(1),O2_Final_Avg(2),O2_Final_Avg(3),O2_Final_Avg(4),VWC(1),VWC(2),VWC(3),VWC(4),EC(1),EC(2),EC(3),EC(4),Temp5TE(1),Temp5TE(2),Temp5TE(3),Temp5TE(4),BattVolt_Avg
2025-06-05T19:30:00Z,23719,0.1360208,-51.04747,0.0566755,0.0340052,14.858,-84.90281,10.88241,10.06369,-0.8243897,-9.107957,-0.8008275,-1.165741,0.612,NA,0.816,NA,0.2,0.07,0.05,0.06,13,9.6,11.4,3.9,13.45895
2025-06-05T20:00:00Z,23720,0.1360189,24.66564,0.06800944,0.03400472,14.94499,-84.79198,10.88241,10.05794,-0.8267977,28.44726,-0.794493,-1.165505,0.612,NA,0.815,NA,0.2,0.07,0.05,0.06,13,9.6,11.4,3.9,13.033
2025-06-05T20:30:00Z,23721,0.1360167,-39.73393,0.06800834,0.03400417,15.08347,-84.79358,10.91235,10.08568,-0.830579,-3.526544,-0.7956545,-1.166644,0.613,NA,0.816,NA,0.2,0.07,0.05,0.06,13.1,9.6,11.5,3.9,14.03703
2025-06-05T21:00:00Z,23722,0.1360215,-49.5005,0.06801076,0.03400538,15.24895,-85.07555,10.951,10.12969,-0.8350371,-8.28297,-0.7971492,-1.168448,0.613,NA,0.82,NA,0.2,0.07,0.05,0.06,13.2,9.6,11.5,3.9,14.08681
2025-06-05T21:30:00Z,23723,0.1360336,-48.547,0.05101258,0.03400841,15.35509,-85.54199,10.96839,10.14213,-0.8378505,-7.655653,-0.8073213,-1.168956,0.613,NA,0.824,NA,0.2,0.07,0.05,0.06,13.2,9.6,11.5,3.9,14.12093
2025-06-05T22:00:00Z,23724,0.1360342,-46.71642,0.06801711,0.03400856,15.43559,-85.84283,10.98679,10.15456,-0.8399671,-6.647141,-0.7985268,-1.169464,0.613,NA,0.82,NA,0.2,0.07,0.05,0.06,13.3,9.6,11.6,3.9,13.97249
2025-06-05T22:30:00Z,23725,0.1643747,-55.11086,0.05668092,0.03400856,15.42008,-86.34267,10.95293,10.11342,-0.8273945,-10.64873,-0.8035561,-1.16778,0.613,NA,0.823,NA,0.2,0.07,0.05,0.06,13.3,9.6,11.6,3.9,13.17959
2025-06-05T23:00:00Z,23726,0.1700428,-69.94993,0.06801711,0.03400856,15.40564,-86.53629,10.94037,10.09333,-0.8245823,-17.95169,-0.7967348,-1.166957,0.613,NA,0.822,NA,0.18,0.07,0.05,0.06,13.4,9.6,11.6,3.9,13.04406
2025-06-05T23:30:00Z,23727,0.1700428,-50.57639,0.06234902,0.03400856,15.42524,-86.87243,10.94037,10.08855,-0.8250965,-8.219986,-0.7999027,-1.166761,0.613,NA,0.823,NA,0.2,0.07,0.05,0.06,13.5,9.6,11.6,3.9,12.96846
2025-06-06T00:00:00Z,23728,0.1700428,44.2508,0.06234902,0.03400856,15.4232,-87.06826,10.94327,10.07899,-0.8250425,38.92717,-0.8000148,-1.166368,0.612,NA,0.827,NA,0.2,0.07,0.05,0.06,13.5,9.6,11.6,3.9,12.57109
2025-06-06T00:30:00Z,23729,0.1983832,-39.8807,0.03967665,0.03400856,15.42422,-87.20415,10.95293,10.08186,-0.812903,-2.798483,-0.8130598,-1.166486,0.613,NA,0.825,NA,0.2,0.07,0.05,0.06,13.6,9.6,11.7,3.9,12.84584
2025-06-06T01:00:00Z,23730,0.2040513,-62.13929,0.03967665,0.03400856,15.43973,-87.62412,10.97807,10.09811,-0.8108761,-13.70837,-0.8140302,-1.167153,0.613,NA,0.823,NA,0.2,0.07,0.05,0.06,13.6,9.6,11.7,3.9,12.861510000000001
2025-06-06T01:30:00Z,23731,0.2040513,-53.04201,0.03967665,0.03400856,15.43973,-87.98824,10.98775,10.10672,-0.8108761,-9.068338,-0.8144036,-1.167506,0.613,NA,0.827,NA,0.2,0.07,0.05,0.06,13.6,9.6,11.8,3.9,12.85414
2025-06-06T02:00:00Z,23732,0.2040513,-64.01543,0.03967665,0.03400856,15.42938,-88.28344,11.00998,10.10959,-0.810605,-14.41659,-0.8152595,-1.167624,0.613,NA,0.825,NA,0.19,0.07,0.05,0.06,13.7,9.6,11.8,3.9,12.84492
2025-06-06T02:30:00Z,23733,0.2323918,-61.19839,0.04534474,0.03400856,15.41079,-88.59048,11.02836,10.1115,-0.7979512,-12.91341,-0.8127983,-1.167702,0.613,NA,0.825,NA,0.18,0.07,0.05,0.06,13.7,9.6,11.8,3.9,12.8357
2025-06-06T03:00:00Z,23734,0.2380599,-47.16986,0.03967665,0.03400856,15.38913,-89.49107,11.03804,10.12203,-0.7949488,-5.639475,-0.8163381,-1.168133,0.613,NA,0.825,NA,0.16,0.07,0.05,0.06,13.7,9.6,11.8,3.9,12.82648
2025-06-06T03:30:00Z,23735,0.2607323,-62.50206,0.03400856,0.03400856,15.36023,-89.82214,11.05933,10.13257,-0.784454,-13.13826,-0.8203227,-1.168565,0.612,NA,0.824,NA,0.17,0.07,0.05,0.06,13.7,9.6,11.8,3.9,12.81726
2025-06-06T04:00:00Z,23736,0.2720684,48.93831,0.03400856,0.03400856,15.31797,-90.08365,11.06998,10.12874,-0.7784688,42.28215,-0.8207309,-1.168408,0.613,NA,0.824,NA,0.18,0.07,0.05,0.06,13.7,9.6,11.9,3.9,12.50748
2025-06-06T04:30:00Z,23737,0.2720684,-17.93384,0.05668092,0.03400856,15.2788,-89.9953,11.08546,10.13639,-0.7774293,9.04959,-0.8086521,-1.168721,0.612,NA,0.831,NA,0.2,0.07,0.05,0.06,13.7,9.6,11.9,3.9,12.75917
2025-06-06T05:00:00Z,23738,0.306077,-47.49861,0.03967665,0.03400856,15.2533,-90.25595,11.11085,10.15572,-0.76215,-5.539385,-0.8191263,-1.169511,0.612,NA,0.831,NA,0.19,0.07,0.05,0.06,13.7,9.6,11.9,3.9,12.7731
2025-06-06T05:30:00Z,23739,0.3287494,-51.59665,0.03967665,0.03400856,15.22238,-90.1676,11.1263,10.15569,-0.7515901,-7.604594,-0.819716,-1.16951,0.613,NA,0.829,NA,0.19,0.07,0.05,0.06,13.7,9.6,11.9,3.9,12.76748
2025-06-06T06:00:00Z,23740,0.3400855,-51.78936,0.03400856,0.03400856,15.18413,-90.34434,11.14553,10.17374,-0.7456978,-7.639185,-0.8236173,-1.170247,0.613,NA,0.835,NA,0.19,0.07,0.05,0.06,13.7,9.6,11.9,3.9,12.76194
2025-06-06T06:30:00Z,23741,0.3400895,-51.58023,0.04534531,0.03400895,15.1492,-90.16764,11.16588,10.17853,-0.7447557,-7.596434,-0.8180559,-1.170442,0.613,NA,0.83,NA,0.19,0.07,0.05,0.06,13.7,9.6,11.9,3.9,12.75652
2025-06-06T07:00:00Z,23742,0.3741019,-51.30298,0.03400927,0.03400927,15.10849,-90.16756,11.17785,10.18269,-0.7290537,-7.458804,-0.8248467,-1.170612,0.612,NA,0.835,NA,0.18,0.07,0.05,0.06,13.7,9.6,11.9,3.9,12.75283
2025-06-06T07:30:00Z,23743,0.3967704,-50.53154,0.03967699,0.03400889,15.07441,-89.9909,11.19804,10.19977,-0.7183977,-7.136853,-0.8224459,-1.171308,0.613,NA,0.827,NA,0.18,0.07,0.05,0.06,13.7,9.6,12,3.9,12.74811
2025-06-06T08:00:00Z,23744,0.408103,60.03644,0.03400858,0.03400858,15.02426,-90.07922,11.20784,10.19603,-0.7121656,47.79068,-0.8259855,-1.171156,0.613,NA,0.835,NA,0.18,0.07,0.05,0.06,13.7,9.6,12,3.9,12.42081
2025-06-06T08:30:00Z,23745,0.4251071,-20.06506,0.04534476,0.03400857,14.98143,-89.57207,11.21775,10.20198,-0.7036939,7.84581,-0.8200254,-1.171398,0.613,NA,0.834,NA,0.18,0.07,0.05,0.06,13.7,9.6,12,3.9,12.69556
2025-06-06T09:00:00Z,23746,0.4421185,-50.15214,0.03967726,0.03400912,14.95967,-90.34428,11.23985,10.22478,-0.6957931,-6.826329,-0.8240301,-1.172326,0.612,NA,0.83,NA,0.18,0.07,0.05,0.06,13.7,9.6,12,3.9,12.71776
2025-06-06T09:30:00Z,23747,0.4591461,-73.50874,0.04534787,0.03401083,14.93096,-90.43699,11.25826,10.23338,-0.6876925,-18.39066,-0.8215564,-1.172675,0.613,NA,0.835,NA,0.16,0.07,0.05,0.06,13.7,9.6,12,3.9,12.71769
2025-06-06T10:00:00Z,23748,0.4874939,-63.57256,0.056685,0.03401118,14.89536,-90.3484,11.2681,10.24881,-0.6745393,-13.48797,-0.815592,-1.173302,0.613,NA,0.835,NA,0.18,0.07,0.05,0.06,13.7,9.6,12,3.9,12.72532
2025-06-06T10:30:00Z,23749,0.5101686,-53.43166,0.03401124,0.03401124,14.86147,-90.16736,11.2874,10.25063,-0.6638657,-8.515765,-0.8289927,-1.173375,0.613,NA,0.834,NA,0.17,0.07,0.05,0.06,13.6,9.6,12,3.9,12.72694
2025-06-06T11:00:00Z,23750,0.5441682,-52.9487,0.05101557,0.03401051,14.83882,-89.82604,11.29898,10.27071,-0.6486399,-8.393527,-0.8199252,-1.17419,0.613,NA,0.832,NA,0.17,0.07,0.05,0.06,13.6,9.6,12,3.9,12.78049
2025-06-06T11:30:00Z,23751,0.5724978,-53.33867,0.04534629,0.03400978,14.81736,-89.31498,11.31258,10.28223,-0.6358803,-8.763122,-0.8236058,-1.174657,0.613,NA,0.832,NA,0.17,0.07,0.05,0.06,13.6,9.6,12,3.9,12.83385
2025-06-06T12:00:00Z,23752,0.5894824,61.03967,0.0340086,0.0340086,14.7918,-88.66794,11.32616,10.29371,-0.6278749,47.80418,-0.8304532,-1.175123,0.613,NA,0.836,NA,0.17,0.07,0.05,0.06,13.6,9.6,12,3.9,12.74728
2025-06-06T12:30:00Z,23753,0.6461628,-25.78983,0.04534476,0.03400857,14.7742,-88.51297,11.33372,10.30407,-0.6030498,4.640525,-0.8244016,-1.175542,0.613,NA,0.835,NA,0.18,0.07,0.05,0.06,13.6,9.6,12,3.9,12.87812
2025-06-06T13:00:00Z,23754,0.6745033,-59.08989,0.06234904,0.03400857,14.78849,-88.28344,11.35898,10.32421,-0.591283,-11.97106,-0.8158463,-1.176356,0.613,NA,0.835,NA,0.16,0.07,0.05,0.06,13.6,9.6,12,3.9,13.01456
2025-06-06T13:30:00Z,23755,0.71418,-73.79293,0.04534476,0.03400857,14.81916,-88.20895,11.3891,10.353,-0.5751051,-19.29639,-0.8264777,-1.177518,0.611,NA,0.833,NA,0.17,0.07,0.05,0.06,13.6,9.6,12.1,3.9,13.56221
2025-06-06T14:00:00Z,23756,0.7538566,-67.01955,0.03967666,0.03400857,14.92863,-87.76755,11.4562,10.41922,-0.5611079,-16.08297,-0.8321504,-1.180181,0.612,NA,0.833,NA,0.18,0.07,0.05,0.06,13.6,9.6,12,3.9,14.27034
2025-06-06T14:30:00Z,23757,0.7935333,-81.73392,0.06234904,0.03400857,14.98703,-87.41413,11.4854,10.452819999999999,-0.5456819,-23.50786,-0.8205649,-1.181528,0.612,NA,0.837,NA,0.14,0.07,0.05,0.06,13.5,9.6,12.1,3.9,14.24816
2025-06-06T15:00:00Z,23758,0.8332099,-59.1409,0.03967666,0.03400857,15.02086,-87.06824,11.49902,10.4682,-0.5295748,-12.40681,-0.8337426,-1.182143,0.613,NA,0.834,NA,0.17,0.07,0.05,0.06,13.5,9.6,12.1,3.9,14.24908
2025-06-06T15:30:00Z,23759,0.8672185,-54.61776,0.05101286,0.03400857,15.04754,-86.66978,11.50291,10.47781,-0.5157031,-10.29454,-0.8275511,-1.182528,0.613,NA,0.836,NA,0.18,0.07,0.05,0.06,13.5,9.6,12,3.9,14.21681
2025-06-06T16:00:00Z,23760,0.9068952,48.20148,0.06801714,0.03400857,15.03522,-86.60303,11.49512,10.45956,-0.4983319,40.73285,-0.8177574,-1.181797,0.613,NA,0.838,NA,0.17,0.07,0.05,0.06,13.5,9.6,12.1,3.9,13.358459999999999
2025-06-06T16:30:00Z,23761,0.9295676,-34.07092,0.06801714,0.03400857,15.04857,-86.60303,11.49124,10.46532,-0.4889621,-0.1153981,-0.8176133,-1.182028,0.612,NA,0.837,NA,0.17,0.07,0.05,0.06,13.5,9.6,12.1,3.9,14.20667
2025-06-06T17:00:00Z,23762,0.9862485,-51.55132,0.06801714,0.03400857,15.08345,-86.73209,11.49708,10.47012,-0.4655793,-8.751329,-0.8178303,-1.18222,0.612,NA,0.836,NA,0.17,0.07,0.05,0.06,13.6,9.6,12.1,3.9,13.54469
2025-06-06T17:30:00Z,23763,1.008921,-35.49928,0.05668095,0.03400857,15.14304,-87.135,11.51945,10.49223,-0.4574589,-0.646375,-0.8249963,-1.183103,0.612,NA,0.834,NA,0.17,0.07,0.05,0.06,13.6,9.6,12.1,3.9,14.23064
2025-06-06T18:00:00Z,23764,1.042929,-20.40514,0.06234904,0.03400857,15.17386,-87.135,11.5253,10.50377,-0.4436902,6.847864,-0.8220448,-1.183563,0.612,NA,0.836,NA,0.17,0.07,0.05,0.06,13.6,9.6,12.1,3.9,13.61753
2025-06-06T18:30:00Z,23765,1.076938,2.709349,0.05668095,0.03400857,15.15741,-87.91096,11.50777,10.48647,-0.4286467,18.58589,-0.8245631,-1.182873,0.612,NA,0.842,NA,0.17,0.07,0.05,0.06,13.6,9.6,12.1,3.9,13.83143
2025-06-06T19:00:00Z,23766,1.110947,2.720685,0.06234904,0.03400857,15.20061,-88.05996,11.52141,10.498,-0.4152088,18.64207,-0.8219006,-1.183333,0.612,NA,0.841,NA,0.17,0.07,0.05,0.06,13.6,9.6,12.1,3.9,13.482
2025-06-06T19:30:00Z,23767,1.156291,2.788703,0.06801714,0.03400857,15.14201,-88.05996,11.48345,10.46147,-0.3941664,18.67584,-0.8173246,-1.181874,0.612,NA,0.834,NA,0.17,0.07,0.05,0.06,13.6,9.6,12.1,3.9,13.00073
2025-06-06T20:00:00Z,23768,1.178964,2.811375,0.06234904,0.03400857,15.12041,-88.20895,11.46886,10.44706,-0.3838491,18.73764,-0.81995,-1.181297,0.612,NA,0.833,NA,0.16,0.07,0.05,0.06,13.7,9.6,12.1,3.9,12.67804
2025-06-06T20:30:00Z,23769,1.1903,2.834047,0.06801714,0.03400857,15.12247,-88.36095,11.46886,10.44514,-0.3790382,18.80059,-0.8167821,-1.18122,0.613,NA,0.836,NA,0.18,0.07,0.05,0.06,13.7,9.6,12.1,3.9,12.86336
2025-06-06T21:00:00Z,23770,1.224308,2.85672,0.06234904,0.03400857,15.14304,-88.28344,11.47956,10.45955,-0.3649943,18.78543,-0.8203482,-1.181797,0.612,NA,0.837,NA,0.18,0.07,0.05,0.06,13.7,9.6,12.2,3.9,12.91314
2025-06-06T21:30:00Z,23771,1.258317,2.822711,0.05668095,0.03400857,15.14304,-88.668,11.49414,10.47589,-0.3503945,18.89948,-0.8240576,-1.182451,0.613,NA,0.838,NA,0.17,0.07,0.05,0.06,13.7,9.6,12.2,3.9,12.8864
2025-06-06T22:00:00Z,23772,1.269653,2.788703,0.05668095,0.03400857,15.14304,-88.668,11.49902,10.47781,-0.3455279,18.8826,-0.8242388,-1.182528,0.613,NA,0.835,NA,0.17,0.07,0.05,0.06,13.8,9.6,12.2,3.9,12.8947
2025-06-06T22:30:00Z,23773,1.292326,2.788703,0.04534476,0.03400857,15.14304,-88.90383,11.50389,10.48166,-0.3357946,18.96309,-0.8307549,-1.182681,0.612,NA,0.841,NA,0.17,0.07,0.05,0.06,13.8,9.6,12.2,3.9,12.98598
2025-06-06T23:00:00Z,23774,1.297994,2.720685,0.03967666,0.03400857,15.12249,-88.82632,11.52919,10.50858,-0.3328045,18.9029,-0.8348608,-1.183756,0.614,NA,0.809,NA,0.18,0.07,0.05,0.06,13.8,9.6,12.2,3.9,13.12888
2025-06-06T23:30:00Z,23775,1.326334,2.720685,0.03967666,0.03400857,14.8478,-88.51297,11.54477,10.53549,-0.3131024,18.796,-0.8354375,-1.184828,0.614,NA,0.799,NA,0.19,0.07,0.05,0.06,13.8,9.6,12.2,3.9,13.163
2025-06-07T00:00:00Z,23776,1.326334,2.658336,0.04534476,0.03400857,14.78032,-88.43546,11.5438,10.55473,-0.311223,18.73862,-0.8322335,-1.185593,0.614,NA,0.796,NA,0.17,0.07,0.05,0.06,13.8,9.6,12.2,3.9,12.82371
2025-06-07T00:30:00Z,23777,1.314998,2.607324,0.05668095,0.03400857,14.76704,-88.13445,11.54283,10.54703,-0.3157182,18.61106,-0.8258618,-1.185287,0.613,NA,0.793,NA,0.18,0.07,0.05,0.06,13.8,9.6,12.2,3.9,12.8357
2025-06-07T01:00:00Z,23778,1.280989,2.561979,0.04534476,0.03400857,14.7742,-88.51598,11.54575,10.55761,-0.3305187,18.71834,-0.8323055,-1.185708,0.613,NA,0.794,NA,0.18,0.07,0.05,0.06,13.9,9.6,12.2,3.9,12.85045
2025-06-07T01:30:00Z,23779,1.258317,2.516634,0.05101286,0.03400857,14.765,-88.74551,11.55451,10.56821,-0.339994,18.77393,-0.8294616,-1.186128,0.614,NA,0.79,NA,0.17,0.07,0.06,0.06,13.9,9.6,12.2,3.9,12.84676
2025-06-07T02:00:00Z,23780,1.229977,2.454285,0.05668095,0.03400857,14.75375,-89.06543,11.56912,10.57013,-0.3518451,18.85238,-0.8268335,-1.186205,0.614,NA,0.795,NA,0.18,0.07,0.05,0.06,13.9,9.6,12.2,3.9,12.83939
