TIMESTAMP,RECORD,CO2_mV_Avg(1),CO2_mV_Avg(2),CO2_mV_Avg(3),CO2_Final_Avg(1),CO2_Final_Avg(2),CO2_Final_Avg(3)
2023-07-01T05:30:00Z,5051,596.5148,436.5692,690.6764,11930.3,8731.385,13813.53
2023-07-01T05:45:00Z,5052,597.3295,435.3925,691.1969,11946.59,8707.85,13823.94
2023-07-01T06:00:00Z,5053,597.0127,435.0757,692.351,11940.25,8701.513,13847.02
2023-07-01T06:15:00Z,5054,598.5741,436.6823,692.0115,11971.48,8733.647,13840.23
2023-07-01T06:30:00Z,5055,598.1668,436.9539,693.9577,11963.33,8739.078,13879.15
2023-07-01T06:45:00Z,5056,598.9588,436.2298,694.365,11979.18,8724.596,13887.3
2023-07-01T07:00:00Z,5057,600.2034,437.3386,693.2335,12004.07,8746.771,13864.67
2023-07-01T07:15:00Z,5058,599.9998,438.6964,696.5827,12000,8773.928,13931.65
2023-07-01T07:30:00Z,5059,599.3435,437.8817,696.2206,11986.87,8757.635,13924.41
2023-07-01T07:45:00Z,5060,599.5698,439.511,697.1032,11991.4,8790.221,13942.06
2023-07-01T08:00:00Z,5061,600.4071,439.1716,696.8769,12008.14,8783.433,13937.54
2023-07-01T08:15:00Z,5062,599.9772,437.6781,697.8047,11999.54,8753.561,13956.09
2023-07-01T08:30:00Z,5063,599.8187,439.0132,698.1667,11996.38,8780.264,13963.33
2023-07-01T08:45:00Z,5064,600.9955,437.7007,698.2573,12019.91,8754.014,13965.15
2023-07-01T09:00:00Z,5065,600.2261,438.0854,700.905,12004.52,8761.707,14018.1
2023-07-01T09:15:00Z,5066,600.837,439.6016,701.4028,12016.74,8792.031,14028.06
2023-07-01T09:30:00Z,5067,600.2487,438.4022,700.475,12004.97,8768.044,14009.5
2023-07-01T09:45:00Z,5068,601.1086,438.4927,700.8597,12022.17,8769.854,14017.19
2023-07-01T10:00:00Z,5069,600.7918,438.7643,701.5159,12015.84,8775.285,14030.32
2023-07-01T10:15:00Z,5070,601.697,438.5153,701.0181,12033.94,8770.308,14020.36
2023-07-01T10:30:00Z,5071,600.6786,438.7416,700.7692,12013.57,8774.832,14015.38
2023-07-01T10:45:00Z,5072,600.6108,438.9227,702.3079,12012.22,8778.453,14046.16
2023-07-01T11:00:00Z,5073,602.5343,439.4884,704.9103,12050.69,8789.768,14098.21
2023-07-01T11:15:00Z,5074,601.9911,439.3074,702.7832,12039.82,8786.147,14055.66
2023-07-01T11:30:00Z,5075,602.6022,438.8774,703.8694,12052.04,8777.548,14077.39
2023-07-01T11:45:00Z,5076,602.4437,439.0358,704.7746,12048.88,8780.717,14095.49
2023-07-01T12:00:00Z,5077,602.2984,438.6441,704.2203,12045.97,8772.882,14084.41
2023-07-01T12:15:00Z,5078,602.0258,439.1473,705.3918,12040.52,8782.946,14107.84
2023-07-01T12:30:00Z,5079,603.6468,438.8431,705.2803,12072.94,8776.861,14105.61
2023-07-01T12:45:00Z,5080,601.9487,440.7323,705.9725,12038.97,8814.645,14119.45
2023-07-01T13:00:00Z,5081,602.4153,439.7184,707.0112,12048.31,8794.369,14140.22
2023-07-01T13:15:00Z,5082,603.2814,438.7336,706.7883,12065.63,8774.672,14135.77
2023-07-01T13:30:00Z,5083,604.3464,438.4266,707.5402,12086.93,8768.532,14150.8
2023-07-01T13:45:00Z,5084,604.3375,441.8209,709.3423,12086.75,8836.419,14186.85
2023-07-01T14:00:00Z,5085,603.2396,439.873,711.0652,12064.79,8797.46,14221.3
2023-07-01T14:15:00Z,5086,603.2793,441.9269,711.4883,12065.59,8838.538,14229.77
2023-07-01T14:30:00Z,5087,604.3873,439.9142,711.5334,12087.75,8798.282,14230.67
2023-07-01T14:45:00Z,5088,604.7039,440.8866,712.551,12094.08,8817.731,14251.02
2023-07-01T15:00:00Z,5089,605.6989,439.0096,714.5637,12113.98,8780.191,14291.27
2023-07-01T15:15:00Z,5090,606.3547,440.3438,715.2195,12127.09,8806.876,14304.39
2023-07-01T15:30:00Z,5091,606.7391,440.7961,718.4081,12134.78,8815.922,14368.16
2023-07-01T15:45:00Z,5092,608.4804,442.0625,720.9183,12169.61,8841.25,14418.37
2023-07-01T16:00:00Z,5093,610.8776,441.7685,722.1168,12217.55,8835.37,14442.34
2023-07-01T16:15:00Z,5094,610.5609,441.9947,724.2878,12211.22,8839.893,14485.75
2023-07-01T16:30:00Z,5095,612.6188,443.3063,724.6496,12252.38,8866.125,14492.99
2023-07-01T16:45:00Z,5096,612.8902,443.4872,727.0919,12257.8,8869.744,14541.84
2023-07-01T17:00:00Z,5097,614.5184,443.7586,730.7555,12290.37,8875.171,14615.11
2023-07-01T17:15:00Z,5098,614.9933,443.6907,734.3964,12299.87,8873.813,14687.93
2023-07-01T17:30:00Z,5099,616.6894,443.1932,734.1024,12333.79,8863.863,14682.05
2023-07-01T17:45:00Z,5100,616.9834,445.1606,738.3764,12339.67,8903.213,14767.53
2023-07-01T18:00:00Z,5101,618.996,446.5175,739.5297,12379.92,8930.35,14790.59
2023-07-01T18:15:00Z,5102,621.3705,445.2737,739.281,12427.41,8905.474,14785.62
2023-07-01T18:30:00Z,5103,621.9811,447.7613,740.9544,12439.62,8955.225,14819.09
2023-07-01T18:45:00Z,5104,623.2023,446.314,745.726,12464.05,8926.279,14914.52
2023-07-01T19:00:00Z,5105,624.6948,447.4673,746.4496,12493.9,8949.346,14928.99
2023-07-01T19:15:00Z,5106,626.2326,447.9874,748.7564,12524.65,8959.748,14975.13
