TIMESTAMP,RECORD,O2_mV_Avg(1),O2_mV_Avg(2),O2_mV_Avg(3),O2_mV_Avg(4),SBTemp_C_Avg(1),SBTemp_C_Avg(2),SBTemp_C_Avg(3),SBTemp_C_Avg(4),O2_Final_Avg(1),O2_Final_Avg(2),O2_Final_Avg(3),O2_Final_Avg(4),VWC(1),VWC(2),VWC(3),VWC(4),EC(1),EC(2),EC(3),EC(4),Temp5TE(1),Temp5TE(2),Temp5TE(3),Temp5TE(4),BattVolt_Avg
2025-06-05T18:00:00Z,21672,0.03398528,0.6797054,0.03398528,0.03398528,18.59297,12.07686,9.361348,9.813151,-0.9481542,-0.3250684,-1.316677,-0.7276708,NA,NA,NA,NA,0,0,0,0,0,0,0,0,13.33215
2025-06-05T18:30:00Z,21673,0.03398606,0.6797212,0.03398606,0.03398606,19.08474,12.14866,9.400345,9.876241,-0.9563789,-0.3276021,-1.318354,-0.7303017,NA,NA,NA,NA,0,0,0,0,0,0,0,0,14.05553
2025-06-05T19:00:00Z,21674,0.02832332,0.6797594,0.03398797,0.03398797,19.48706,12.21263,9.426025,9.925023,-0.9649193,-0.3298402,-1.319456,-0.7323305,NA,NA,NA,NA,0,0,0,0,0,0,0,0,14.12112
2025-06-05T19:30:00Z,21675,0.02832221,0.679731,0.03398655,0.03398655,19.79961,12.26287,9.44698,9.937459,-0.9694763,-0.3316133,-1.320355,-0.732847,NA,NA,NA,NA,0,0,0,0,0,0,0,0,14.13775
2025-06-05T20:00:00Z,21676,0.0339871,0.6570836,0.0339871,0.0339871,19.90876,12.29343,9.43365,9.905889,-0.9687558,-0.3421113,-1.319783,-0.7315338,NA,NA,NA,NA,0,0,0,0,0,0,0,0,13.48828
2025-06-05T20:30:00Z,21677,0.0339879,0.6117821,0.0339879,0.0339879,19.79169,12.31412,9.418416,9.862844,-0.9671245,-0.3616963,-1.319129,-0.7297444,NA,NA,NA,NA,0,0,0,0,0,0,0,0,13.37834
2025-06-05T21:00:00Z,21678,0.03398778,0.61178,0.03398778,0.03398778,19.78494,12.36147,9.419368,9.843724,-0.9670295,-0.3633438,-1.31917,-0.728947,NA,NA,NA,NA,0,0,0,0,0,0,0,0,13.22221
2025-06-05T21:30:00Z,21679,0.03398849,0.611793,0.03398849,0.03398849,19.76247,12.42268,9.426025,9.855194,-0.9667099,-0.3654576,-1.319456,-0.7294251,NA,NA,NA,NA,0,0,0,0,0,0,0,0,13.26101
2025-06-05T22:00:00Z,21680,0.03398851,0.6117931,0.03398851,0.03398851,19.69066,12.48096,9.426025,9.855194,-0.9656777,-0.3674663,-1.319456,-0.7294251,NA,NA,NA,NA,0,0,0,0,0,0,0,0,13.1677
2025-06-05T22:30:00Z,21681,0.03398851,0.6117931,0.03398851,0.03398851,19.54399,12.52546,9.426025,9.837982,-0.9635291,-0.3689933,-1.319456,-0.7287071,NA,NA,NA,NA,0,0,0,0,0,0,0,0,13.01527
