TIMESTAMP,RECORD,CO2_mV_Avg(1),CO2_mV_Avg(2),CO2_mV_Avg(3),CO2_mV_Avg(4),CO2_Final_Avg(1),CO2_Final_Avg(2),CO2_Final_Avg(3),CO2_Final_Avg(4)
2024-01-28T17:00:00Z,0,0.1934016,0.07963595,0.01137656,0,3.868032,6.370876,0.9101251,0.9101251
2024-01-28T21:00:00Z,1,834.7554,2509.215,1.467577,2512.981,16695.11,200737.2,117.4061,117.4061
2024-01-29T01:00:00Z,2,827.4744,2509.215,1.410694,2513.072,16549.49,200737.2,112.8555,112.8555
2024-01-29T05:00:00Z,3,811.0239,2509.215,1.467577,2513.106,16220.48,200737.2,117.4061,117.4061
2024-01-29T09:00:00Z,4,818.6348,2509.215,1.422071,2512.821,16372.7,200737.2,113.7656,113.7656
2024-01-29T13:00:00Z,5,808.1002,2509.215,1.433447,2512.651,16162,200737.2,114.6758,114.6758
2024-01-29T17:00:00Z,6,779.8408,2509.215,1.410694,2512.355,15596.81,200737.2,112.8555,112.8555
2024-01-29T21:00:00Z,7,779.3401,2509.215,2.207053,2513.208,15586.8,200737.2,176.5643,176.5643
2024-01-30T01:00:00Z,8,770.3299,2509.215,2.104665,2513.026,15406.6,200737.2,168.3732,168.3732
2024-01-30T05:00:00Z,9,759.4994,2509.215,1.786121,2513.14,15189.99,200737.2,142.8896,142.8896
2024-01-30T09:00:00Z,10,698.6689,2509.215,1.945393,2512.981,13973.38,200737.2,155.6314,155.6314
2024-01-30T13:00:00Z,11,678.9875,2508.794,1.535836,2512.821,13579.75,200703.5,122.8669,122.8669
2024-01-30T17:00:00Z,12,699.8863,2509.181,1.558589,2512.833,13997.72,200734.5,124.6871,124.6871
2024-01-30T21:00:00Z,13,675.2332,2509.215,1.786121,2513.015,13504.67,200737.2,142.8896,142.8896
2024-01-31T01:00:00Z,14,675.7565,2509.215,1.399317,2512.503,13515.13,200737.2,111.9454,111.9454
2024-01-31T05:00:00Z,15,669.8521,2509.215,1.399317,2512.765,13397.04,200737.2,111.9454,111.9454
2024-01-31T09:00:00Z,16,671.5586,2509.215,1.399317,2512.73,13431.17,200737.2,111.9454,111.9454
2024-01-31T13:00:00Z,17,659.3743,2509.215,1.422071,2512.935,13187.49,200737.2,113.7656,113.7656
2024-01-31T17:00:00Z,18,646.0978,2509.215,1.376564,2512.753,12921.96,200737.2,110.1251,110.1251
2024-01-31T21:00:00Z,19,561.8317,2509.215,1.467577,2513.003,11236.63,200737.2,117.4061,117.4061
2024-02-01T01:00:00Z,20,646.9397,2509.215,1.399317,2512.992,12938.79,200737.2,111.9454,111.9454
2024-02-01T05:00:00Z,21,640.5347,2509.215,1.467577,2513.254,12810.69,200737.2,117.4061,117.4061
2024-02-01T09:00:00Z,22,638.8282,2509.215,1.4562,2513.265,12776.56,200737.2,116.496,116.496
2024-02-01T13:00:00Z,23,624.5279,2509.215,1.478953,2513.06,12490.56,200737.2,118.3163,118.3163
2024-02-01T17:00:00Z,24,613.9363,2509.215,1.52446,2513.094,12278.73,200737.2,121.9568,121.9568
2024-02-01T21:00:00Z,25,608.851,2509.226,1.513083,2513.231,12177.02,200738.1,121.0466,121.0466
2024-02-02T01:00:00Z,26,608.2253,2509.215,1.444824,2513.242,12164.5,200737.2,115.5859,115.5859
2024-02-02T05:00:00Z,27,613.7315,2509.215,1.501706,2513.197,12274.63,200737.2,120.1365,120.1365
2024-02-02T09:00:00Z,28,605.4608,2509.215,1.467577,2513.197,12109.21,200737.2,117.4061,117.4061
2024-02-02T13:00:00Z,29,607.9067,2509.215,1.4562,2513.094,12158.13,200737.2,116.496,116.496
2024-02-02T17:00:00Z,30,622.2411,2509.215,1.501706,2513.277,12444.82,200737.2,120.1365,120.1365
2024-02-02T21:00:00Z,31,619.4198,2509.215,1.422071,2513.197,12388.4,200737.2,113.7656,113.7656
2024-02-03T01:00:00Z,32,634.8464,2509.215,1.376564,2513.026,12696.93,200737.2,110.1251,110.1251
2024-02-03T05:00:00Z,33,615.347,2509.215,1.501706,2513.094,12306.94,200737.2,120.1365,120.1365
2024-02-03T09:00:00Z,34,620.2617,2508.942,1.478953,2512.992,12405.23,200715.3,118.3163,118.3163
2024-02-03T13:00:00Z,35,633.5154,2508.316,1.433447,2512.708,12670.31,200665.3,114.6758,114.6758
2024-02-03T17:00:00Z,36,624.6075,2509.192,1.683732,2513.026,12492.15,200735.4,134.6985,134.6985
2024-02-03T21:00:00Z,37,629.8635,2509.215,1.558589,2512.969,12597.27,200737.2,124.6871,124.6871
2024-02-04T01:00:00Z,38,629.8976,2508.362,1.422071,2512.196,12597.95,200668.9,113.7656,113.7656
2024-02-04T05:00:00Z,39,624.8093,2508.706,1.377034,2512.803,12496.19,200696.5,110.1627,110.1627
2024-02-04T09:00:00Z,40,629.3502,2508.706,1.422556,2512.803,12587,200696.5,113.8045,113.8045
2024-02-04T13:00:00Z,41,631.7628,2508.649,1.365654,2512.803,12635.25,200691.9,109.2523,109.2523
2024-02-04T17:00:00Z,42,627.35,2509.116,1.683733,2512.642,12547,200729.2,134.6987,134.6987
2024-02-04T21:00:00Z,43,627.5087,2509.216,1.433447,2513.209,12550.17,200737.2,114.6758,114.6758
2024-02-05T01:00:00Z,44,628.7715,2508.385,1.387941,2513.083,12575.43,200670.8,111.0353,111.0353
2024-02-05T05:00:00Z,45,626.8426,2508.337,1.388205,2512.809,12536.85,200667,111.0564,111.0564
2024-02-05T09:00:00Z,46,626.596,2508.706,1.399795,2512.871,12531.92,200696.5,111.9836,111.9836
2024-02-05T13:00:00Z,47,627.5178,2507.34,1.377034,2512.803,12550.36,200587.2,110.1627,110.1627
2024-02-05T17:00:00Z,48,620.2972,2506.559,1.615506,2512.999,12405.95,200524.8,129.2404,129.2404
2024-02-05T21:00:00Z,49,609.8636,2505.78,1.513083,2513.311,12197.27,200462.4,121.0467,121.0467
2024-02-06T01:00:00Z,50,609.6133,2505.006,1.501707,2513.277,12192.27,200400.5,120.1366,120.1366
2024-02-06T05:00:00Z,51,610.4999,2503.924,1.456253,2513.174,12210,200314,116.5002,116.5002
2024-02-06T09:00:00Z,52,611.627,2503.755,1.433447,2513.311,12232.54,200300.4,114.6758,114.6758
2024-02-06T13:00:00Z,53,577.1446,2503.755,1.422071,2512.958,11542.89,200300.4,113.7657,113.7657
2024-02-06T17:00:00Z,54,570.3301,2503.801,2.400456,2513.311,11406.6,200304,192.0365,192.0365
2024-02-06T21:00:00Z,55,539.3858,2503.755,2.218431,2513.3,10787.72,200300.4,177.4744,177.4744
2024-02-07T01:00:00Z,56,522.6395,2503.459,1.831627,2513.311,10452.79,200276.7,146.5302,146.5302
2024-02-07T05:00:00Z,57,508.7487,2502.458,1.615473,2513.288,10174.97,200196.6,129.2378,129.2378
2024-02-07T09:00:00Z,58,488.0596,2502.879,1.570202,2513.631,9761.192,200230.3,125.6161,125.6161
2024-02-07T13:00:00Z,59,468.348,2503.242,1.524896,2513.985,9366.959,200259.4,121.9917,121.9917
2024-02-07T17:00:00Z,60,452.867,2502.367,1.877134,2513.311,9057.34,200189.4,150.1707,150.1707
2024-02-07T21:00:00Z,61,412.0024,2502.401,1.649602,2513.311,8240.048,200192.1,131.9682,131.9682
2024-02-08T01:00:00Z,62,405.1651,2501.878,1.638226,2513.311,8103.302,200150.2,131.0581,131.0581
2024-02-08T05:00:00Z,63,383.8454,2502.196,1.547213,2513.311,7676.908,200175.7,123.7771,123.7771
2024-02-08T09:00:00Z,64,370.0229,2502.083,1.501707,2513.3,7400.457,200166.6,120.1366,120.1366
2024-02-08T13:00:00Z,65,344.4142,2501.446,1.444824,2513.288,6888.284,200115.6,115.5859,115.5859
2024-02-08T17:00:00Z,66,350.6599,2502.39,1.695109,2513.288,7013.199,200191.2,135.6087,135.6087
2024-02-08T21:00:00Z,67,356.8829,2502.14,1.865757,2513.311,7137.658,200171.2,149.2606,149.2606
2024-02-09T01:00:00Z,68,370.5006,2501.491,1.569966,2513.311,7410.013,200119.3,125.5973,125.5973
2024-02-09T05:00:00Z,69,369.4768,2501.104,1.501707,2513.3,7389.536,200088.3,120.1366,120.1366
2024-02-09T09:00:00Z,70,376.098,2501.07,1.774745,2513.311,7521.959,200085.6,141.9796,141.9796
2024-02-09T13:00:00Z,71,381.7521,2501.024,1.52446,2513.3,7635.042,200082,121.9568,121.9568
2024-02-09T17:00:00Z,72,388.5325,2501.024,1.717862,2513.152,7770.65,200082,137.4289,137.4289
2024-02-09T21:00:00Z,73,396.8943,2501.298,1.717862,2513.22,7937.886,200103.8,137.4289,137.4289
2024-02-10T01:00:00Z,74,402.5712,2501.036,1.592719,2513.311,8051.424,200082.9,127.4176,127.4176
2024-02-10T05:00:00Z,75,405.2675,2501.024,1.592719,2513.3,8105.349,200082,127.4176,127.4176
2024-02-10T09:00:00Z,76,411.0354,2501.024,1.649602,2513.22,8220.707,200082,131.9682,131.9682
2024-02-10T13:00:00Z,77,416.4165,2501.024,1.843004,2513.231,8328.33,200082,147.4403,147.4403
2024-02-10T17:00:00Z,78,416.5075,2501.024,1.92264,2513.288,8330.15,200082,153.8112,153.8112
2024-02-10T21:00:00Z,79,424.2436,2501.024,1.786121,2513.243,8484.871,200082,142.8897,142.8897
2024-02-11T01:00:00Z,80,429.3744,2501.002,1.751991,2513.198,8587.488,200080.1,140.1593,140.1593
2024-02-11T05:00:00Z,81,431.7749,2500.729,1.626849,2513.254,8635.497,200058.3,130.1479,130.1479
2024-02-11T09:00:00Z,82,443.1742,2500.774,1.683732,2513.277,8863.483,200061.9,134.6986,134.6986
2024-02-11T13:00:00Z,83,442.0365,2500.148,1.581343,2513.198,8840.73,200011.9,126.5074,126.5074
2024-02-11T17:00:00Z,84,449.0103,2500.547,1.649602,2513.186,8980.207,200043.7,131.9682,131.9682
2024-02-11T21:00:00Z,85,454.9944,2500.672,1.660979,2513.231,9099.889,200053.8,132.8783,132.8783
2024-02-12T01:00:00Z,86,461.3767,2500.114,1.592719,2513.129,9227.533,200009.2,127.4176,127.4176
2024-02-12T05:00:00Z,87,466.6327,2500,1.535837,2513.106,9332.653,200000,122.8669,122.8669
2024-02-12T09:00:00Z,88,465.8932,2500.069,1.672355,2513.152,9317.863,200005.5,133.7884,133.7884
2024-02-12T13:00:00Z,89,476.462,2499.819,1.592719,2513.038,9529.24,199985.5,127.4176,127.4176
2024-02-12T17:00:00Z,90,474.8807,2499.716,1.660979,2513.015,9497.613,199977.3,132.8783,132.8783
2024-02-12T21:00:00Z,91,486.9854,2499.762,1.638226,2512.947,9739.706,199980.9,131.0581,131.0581
2024-02-13T01:00:00Z,92,512.9467,2499.671,1.535837,2513.209,10258.93,199973.7,122.8669,122.8669
2024-02-13T05:00:00Z,93,496.2231,2499.659,1.501707,2513.266,9924.462,199972.8,120.1366,120.1366
2024-02-13T09:00:00Z,94,497.2129,2499.659,1.535837,2513.015,9944.257,199972.8,122.8669,122.8669
2024-02-13T13:00:00Z,95,502.7533,2499.648,1.501707,2512.993,10055.06,199971.8,120.1366,120.1366
2024-02-13T17:00:00Z,96,504.3119,2499.659,1.706485,2512.765,10086.24,199972.8,136.5188,136.5188
2024-02-13T21:00:00Z,97,507.0309,2499.671,1.604096,2512.958,10140.62,199973.7,128.3277,128.3277
2024-02-14T01:00:00Z,98,504.4484,2499.659,1.422071,2512.981,10088.97,199972.8,113.7657,113.7657
2024-02-14T05:00:00Z,99,511.6384,2499.659,1.478954,2513.038,10232.77,199972.8,118.3163,118.3163
2024-02-14T09:00:00Z,100,527.3835,2499.011,1.410694,2512.879,10547.67,199920.9,112.8556,112.8556
2024-02-14T13:00:00Z,101,529.2022,2500.148,1.399795,2513.053,10584.04,200011.8,111.9836,111.9836
2024-02-14T17:00:00Z,102,529.5902,2499.223,1.365627,2513.095,10591.8,199937.8,109.2502,109.2502
2024-02-14T21:00:00Z,103,536.499,2499.884,1.467709,2513.014,10729.98,199990.8,117.4167,117.4167
2024-02-15T01:00:00Z,104,539.3254,2499.594,1.444845,2513.121,10786.51,199967.5,115.5876,115.5876
2024-02-15T05:00:00Z,105,550.3922,2499.677,1.422114,2513,11007.84,199974.2,113.7691,113.7691
2024-02-15T09:00:00Z,106,541.5955,2500.125,1.411175,2513.724,10831.91,200010,112.894,112.894
2024-02-15T13:00:00Z,107,553.362,2499.45,1.399965,2513.12,11067.24,199956,111.9972,111.9972
2024-02-15T17:00:00Z,108,555.7668,2499.949,1.501887,2513.58,11115.33,199995.9,120.151,120.151
2024-02-15T21:00:00Z,109,558.7601,2499.694,1.49033,2513.311,11175.2,199975.5,119.2264,119.2264
2024-02-16T01:00:00Z,110,559.1583,2499.659,1.49033,2513.311,11183.17,199972.8,119.2264,119.2264
2024-02-16T05:00:00Z,111,564.5963,2499.659,1.52446,2513.311,11291.93,199972.8,121.9568,121.9568
2024-02-16T09:00:00Z,112,557.577,2499.659,1.501707,2513.311,11151.54,199972.8,120.1366,120.1366
2024-02-16T13:00:00Z,113,578.3961,2499.659,1.467577,2513.311,11567.92,199972.8,117.4062,117.4062
2024-02-16T17:00:00Z,114,565.6543,2499.614,1.444824,2513.311,11313.08,199969.1,115.5859,115.5859
2024-02-16T21:00:00Z,115,594.7556,2499.659,1.433447,2513.311,11895.11,199972.8,114.6758,114.6758
2024-02-17T01:00:00Z,116,562.9239,2499.659,1.433447,2513.288,11258.48,199972.8,114.6758,114.6758
2024-02-17T05:00:00Z,117,587.5541,2498.886,1.422071,2513.311,11751.08,199910.8,113.7657,113.7657
2024-02-17T09:00:00Z,118,581.4677,2499.546,1.456201,2513.266,11629.36,199963.6,116.496,116.496
2024-02-17T13:00:00Z,119,605.0214,2499.383,1.387977,2513.353,12100.43,199950.6,111.0382,111.0382
2024-02-17T17:00:00Z,120,605.3812,2499.602,1.433447,2512.538,12107.62,199968.2,114.6758,114.6758
2024-02-17T21:00:00Z,121,589.8225,2499.217,1.410759,2513.336,11796.45,199937.3,112.8607,112.8607
2024-02-18T01:00:00Z,122,605.6332,2499.146,1.399795,2513.474,12112.67,199931.7,111.9836,111.9836
2024-02-18T05:00:00Z,123,610.7694,2499.999,1.36612,2513.66,12215.39,199999.9,109.2896,109.2896
2024-02-18T09:00:00Z,124,610.1091,2499.999,1.377504,2513.66,12202.18,199999.9,110.2003,110.2003
2024-02-18T13:00:00Z,125,620.1797,2499.843,1.400185,2513.527,12403.59,199987.5,112.0148,112.0148
2024-02-18T17:00:00Z,126,619.6589,2499.659,1.456201,2513.277,12393.18,199972.8,116.496,116.496
2024-02-18T21:00:00Z,127,628.1116,2499.659,1.501707,2513.311,12562.23,199972.8,120.1366,120.1366
2024-02-19T01:00:00Z,128,623.1287,2499.659,1.49033,2513.311,12462.57,199972.8,119.2264,119.2264
2024-02-19T05:00:00Z,129,630.8079,2499.659,1.513083,2513.311,12616.16,199972.8,121.0467,121.0467
2024-02-19T09:00:00Z,130,632.0593,2499.648,1.467577,2513.311,12641.19,199971.8,117.4062,117.4062
2024-02-19T13:00:00Z,131,637.6605,2499.522,1.377015,2513.793,12753.21,199961.7,110.1612,110.1612
2024-02-19T17:00:00Z,132,646.7933,2499.886,1.44531,2514.043,12935.87,199990.9,115.6248,115.6248
2024-02-19T21:00:00Z,133,644.9,2499.866,1.388056,2513.474,12898,199989.3,111.0445,111.0445
2024-02-20T01:00:00Z,134,643.5984,2499.203,1.388415,2513.144,12871.97,199936.3,111.0732,111.0732
2024-02-20T05:00:00Z,135,662.4428,2499.999,1.377504,2513.66,13248.86,199999.9,110.2003,110.2003
2024-02-20T09:00:00Z,136,659.8814,2499.988,1.36612,2513.649,13197.63,199999,109.2896,109.2896
2024-02-20T13:00:00Z,137,662.8862,2499.954,1.388863,2513.626,13257.72,199996.3,111.1091,111.1091
2024-02-20T17:00:00Z,138,663.3154,2500.266,1.411043,2513.864,13266.31,200021.3,112.8834,112.8834
2024-02-20T21:00:00Z,139,666.883,2499.659,1.387941,2513.311,13337.66,199972.8,111.0353,111.0353
2024-02-21T01:00:00Z,140,675.0286,2499.659,1.399318,2513.311,13500.57,199972.8,111.9454,111.9454
2024-02-21T05:00:00Z,141,668.6923,2499.226,1.388415,2513.827,13373.85,199938.1,111.0732,111.0732
2024-02-21T09:00:00Z,142,676.817,2499.185,1.377055,2513.251,13536.34,199934.8,110.1644,110.1644
2024-02-21T13:00:00Z,143,676.7015,2499.19,1.377052,2513.359,13534.03,199935.2,110.1641,110.1641
2024-02-21T17:00:00Z,144,681.5133,2499.796,1.422071,2513.311,13630.27,199983.7,113.7657,113.7657
2024-02-21T21:00:00Z,145,682.7192,2500.82,1.55859,2513.311,13654.38,200065.6,124.6872,124.6872
2024-02-22T01:00:00Z,146,665.1651,2499.762,1.478954,2513.311,13303.3,199980.9,118.3163,118.3163
2024-02-22T05:00:00Z,147,691.9911,2499.659,1.433447,2513.311,13839.82,199972.8,114.6758,114.6758
2024-02-22T09:00:00Z,148,695.2789,2499.659,1.456201,2513.288,13905.58,199972.8,116.496,116.496
2024-02-22T13:00:00Z,149,687.0878,2500.08,1.478954,2513.311,13741.75,200006.4,118.3163,118.3163
2024-02-22T17:00:00Z,150,695.3699,2500.069,1.604096,2513.311,13907.4,200005.5,128.3277,128.3277
2024-02-22T21:00:00Z,151,694.7442,2500.649,1.581343,2513.3,13894.88,200051.9,126.5074,126.5074
2024-02-23T01:00:00Z,152,706.4848,2500.433,1.433447,2513.311,14129.7,200034.6,114.6758,114.6758
2024-02-23T05:00:00Z,153,712.2869,2499.921,1.513083,2513.311,14245.74,199993.7,121.0467,121.0467
