TIMESTAMP,RECORD,O2_mV_Avg(1),O2_mV_Avg(2),O2_mV_Avg(3),SBTemp_C_Avg(1),SBTemp_C_Avg(2),SBTemp_C_Avg(3),O2_Final_Avg(1),O2_Final_Avg(2),O2_Final_Avg(3),VWC(1),VWC(2),VWC(3),EC(1),EC(2),EC(3),Temp5TE(1),Temp5TE(2),Temp5TE(3),BattVolt_Avg
2025-05-11T14:00:00Z,23921,46.02826,27.87698,30.84873,7.617289,8.188542,8.259705,19.52797,10.88023,11.79536,NA,0.512,NA,0,0.02,0,0,7.7,0,14.582
2025-05-11T14:30:00Z,23922,45.99715,27.70072,31.04934,7.626475,8.15657,8.247355,19.51379,10.80761,11.87655,NA,0.512,NA,0,0.03,0,0,7.6,0,14.54893
2025-05-11T15:00:00Z,23923,45.97087,27.54088,31.23251,7.645055,8.123779,8.233246,19.5013,10.74194,11.95082,NA,0.512,NA,0,0.03,0,0,7.6,0,14.53754
2025-05-11T15:30:00Z,23924,45.95075,27.37576,31.41037,7.660858,8.102239,8.220123,19.49166,10.67352,12.02291,NA,0.512,NA,0,0.02,0,0,7.6,0,14.48325
2025-05-11T16:00:00Z,23925,45.94705,27.21037,31.58789,7.679296,8.073985,8.200261,19.48914,10.60532,12.09518,NA,0.512,NA,0,0.02,0,0,7.6,0,14.44541
2025-05-11T16:30:00Z,23926,45.94607,27.07476,31.78415,7.698771,8.049591,8.193614,19.48778,10.54944,12.17436,NA,0.512,NA,0,0.03,0,0,7.6,0,14.49095
2025-05-11T17:00:00Z,23927,45.89612,26.91762,31.9478,7.695999,8.011302,8.152455,19.46585,10.48518,12.24204,NA,0.511,NA,0,0.02,0,0,7.6,0,14.01512
2025-05-11T17:30:00Z,23928,45.87302,26.76536,32.11055,7.687164,7.966955,8.108058,19.45607,10.42325,12.30952,NA,0.511,NA,0,0.02,0,0,7.5,0,14.0389
2025-05-11T18:00:00Z,23929,45.82791,26.63589,32.27365,7.715078,7.944514,8.091191,19.43482,10.36987,12.37585,NA,0.511,NA,0,0.02,0,0,7.5,0,13.91248
2025-05-11T18:30:00Z,23930,45.8054,26.51211,32.44245,7.78864,7.93044,8.077107,19.42138,10.3185,12.44435,NA,0.511,NA,0,0.02,0,0,7.5,0,13.89989
2025-05-11T19:00:00Z,23931,45.73669,26.39326,32.63852,7.897405,7.914205,8.064575,19.38589,10.2693,12.52374,NA,0.511,NA,0,0.02,0,0,7.5,0,13.91906
2025-05-11T19:30:00Z,23932,45.67019,26.30058,32.86026,8.088908,7.937556,8.088882,19.34754,10.22924,12.61172,NA,0.511,NA,0,0.02,0,0,7.5,0,14.37649
2025-05-11T20:00:00Z,23933,45.59516,26.35575,33.06141,8.289754,7.946599,8.096074,19.30509,10.252,12.69223,NA,0.511,NA,0,0.02,0,0,7.5,0,14.3459
2025-05-11T20:30:00Z,23934,45.53891,26.31637,33.26394,8.453435,7.94072,8.079885,19.27275,10.23572,12.77437,NA,0.51,NA,0,0.03,0,0,7.5,0,14.36031
2025-05-11T21:00:00Z,23935,45.53328,26.24886,33.46645,8.550136,7.951971,8.076198,19.26586,10.20681,12.85594,NA,0.51,NA,0,0.02,0,0,7.5,0,14.36315
2025-05-11T21:30:00Z,23936,45.53328,26.19823,33.66897,8.57223,7.952454,8.060791,19.26486,10.18551,12.93805,NA,0.511,NA,0,0.02,0,0,7.5,0,14.09177
