TIMESTAMP,RECORD,CO2_mV_Avg(1),CO2_mV_Avg(2),CO2_mV_Avg(3),CO2_mV_Avg(4),CO2_Final_Avg(1),CO2_Final_Avg(2),CO2_Final_Avg(3),CO2_Final_Avg(4)
2024-01-22T21:00:00Z,0,2504.413,2452.281,2506.122,2501.791,50088.25,196182.5,200489.8,200489.8
2024-01-23T01:00:00Z,1,2504.435,2394.392,2505.336,2501.859,50088.71,191551.3,200426.9,200426.9
2024-01-23T05:00:00Z,2,2503.495,2446.928,2503.917,2500.622,50069.9,195754.3,200313.3,200313.3
2024-01-23T09:00:00Z,3,2503.478,2406.647,2507.513,2501.243,50069.55,192531.8,200601.1,200601.1
2024-01-23T13:00:00Z,4,2503.352,2425.445,2507.285,2500.445,50067.05,194035.6,200582.8,200582.8
2024-01-23T17:00:00Z,5,2503.706,2427.896,2507.867,2500.457,50074.11,194231.7,200629.3,200629.3
2024-01-23T21:00:00Z,6,2503.706,2451.356,2507.981,2500.32,50074.12,196108.5,200638.5,200638.5
2024-01-24T01:00:00Z,7,2503.945,2444.098,2507.401,2500.239,50078.91,195527.9,200592.1,200592.1
2024-01-24T05:00:00Z,8,2503.934,2434.268,2507.72,2501.083,50078.68,194741.5,200617.6,200617.6
2024-01-24T09:00:00Z,9,2503.813,2401.892,2507.838,2501.555,50076.26,192151.3,200627.1,200627.1
2024-01-24T13:00:00Z,10,2503.304,2394.487,2507.408,2500.568,50066.07,191559,200592.6,200592.6
2024-01-24T17:00:00Z,11,2504.686,2435.454,2508.585,2500.582,50093.72,194836.4,200686.8,200686.8
2024-01-24T21:00:00Z,12,2504.72,2440.356,2508.596,2500.616,50094.41,195228.5,200687.7,200687.7
2024-01-25T01:00:00Z,13,2504.698,2431.841,2508.596,2500.594,50093.95,194547.2,200687.7,200687.7
2024-01-25T05:00:00Z,14,2504.618,2438.088,2508.505,2500.571,50092.36,195047,200680.4,200680.4
2024-01-25T09:00:00Z,15,2504.629,2434.828,2508.311,2500.525,50092.58,194786.2,200664.9,200664.9
2024-01-25T13:00:00Z,16,2504.618,2427.691,2508.756,2500.548,50092.36,194215.3,200700.5,200700.5
2024-01-25T17:00:00Z,17,2504.321,2396.239,2508.733,2500.571,50086.43,191699.1,200698.7,200698.7
2024-02-08T17:00:00Z,18,1.367989,1.025992,1.151391,1.003192,27.35978,82.07934,92.11126,92.11126
2024-02-08T21:00:00Z,19,2504.777,2503.283,2506.293,2501.79,50095.54,200262.7,200503.4,200503.4
2024-02-09T01:00:00Z,20,2504.138,2475.752,2507.182,2503.101,50082.76,198060.2,200574.5,200574.5
2024-02-09T05:00:00Z,21,2503.386,2479.708,2504.594,2500.468,50067.71,198376.6,200367.5,200367.5
2024-02-09T09:00:00Z,22,2503.865,2483.995,2504.332,2500.559,50077.29,198719.5,200346.5,200346.5
2024-02-09T13:00:00Z,23,2504.663,2462.129,2504.708,2503.294,50093.25,196970.3,200376.7,200376.7
2024-02-09T17:00:00Z,24,2504.765,2483.584,2505.791,2503.021,50095.3,198686.7,200463.3,200463.3
2024-02-09T21:00:00Z,25,2505.255,2481.464,2501.881,2503.397,50105.11,198517.1,200150.5,200150.5
2024-02-10T01:00:00Z,26,2504.685,2483.835,2504.685,2500.581,50093.71,198706.8,200374.8,200374.8
2024-02-10T05:00:00Z,27,2504.754,2485.727,2505.244,2500.65,50095.07,198858.2,200419.5,200419.5
2024-02-10T09:00:00Z,28,2504.754,2472.036,2504.799,2500.65,50095.07,197762.9,200384,200384
2024-02-10T13:00:00Z,29,2505.812,2466.779,2506.142,2501.617,50116.24,197342.3,200491.4,200491.4
2024-02-10T17:00:00Z,30,2505.403,2464.136,2506.156,2500.752,50108.07,197130.9,200492.5,200492.5
2024-02-10T21:00:00Z,31,2504.777,2439.216,2504.822,2500.673,50095.54,195137.2,200385.8,200385.8
2024-02-11T01:00:00Z,32,2504.719,2422.287,2504.731,2500.616,50094.39,193782.9,200378.5,200378.5
2024-02-11T05:00:00Z,33,2504.731,2427.542,2504.195,2502.656,50094.62,194203.4,200335.6,200335.6
2024-02-11T09:00:00Z,34,2504.731,2421.876,2503.534,2503.363,50094.62,193750.1,200282.7,200282.7
